nconst,primaryName,primaryProfession,knownForTitles
nm0000243,Denzel Washington,"actor,producer,soundtrack","tt0139654,tt2671706,tt0168786,tt1037705"
nm0000244,Sigourney Weaver,"actress,soundtrack,producer","tt0499549,tt0125022,tt0118583,tt0078748"
nm0000245,Robin Williams,"actor,soundtrack,writer","tt0093105,tt0119217,tt0265459,tt0107614"
nm0000246,Bruce Willis,"actor,soundtrack,producer","tt0167404,tt0088571,tt0110912,tt0095016"
nm0000247,John Woo,"producer,director,writer","tt0092263,tt0119094,tt0425637,tt0104684"
nm0000249,James Woods,"actor,producer,soundtrack","tt0086541,tt0120877,tt0159097,tt0119282"
nm0000250,Renée Zellweger,"actress,soundtrack,producer","tt0159365,tt0116695,tt0299658,tt0243155"
nm0000251,Timothy Dowling,"actor,writer","tt0430922,tt2120120,tt1596350,tt0181852"
nm0000254,Isabelle Adjani,"actress,soundtrack,producer","tt0082933,tt0073114,tt0094828,tt0110963"
nm0000255,Ben Affleck,"producer,actor,writer","tt1024648,tt0840361,tt0119217,tt2267998"
nm0000256,Jenny Agutter,"actress,soundtrack","tt0082010,tt0074812,tt0848228,tt0099253"
nm0000257,Alan Alda,"actor,miscellaneous,soundtrack","tt0097123,tt0116242,tt0082405,tt0068098"
nm0000260,Joan Allen,"actress,producer","tt0120789,tt3170832,tt0452608,tt0115988"
nm0000261,Karen Allen,"actress,director,soundtrack","tt0077975,tt0367882,tt0082971,tt0088172"
nm0000262,Nancy Allen,"actress,soundtrack","tt0107978,tt0100502,tt0093870,tt0080661"
nm0000264,Pedro Almodóvar,"writer,director,soundtrack","tt1189073,tt0441909,tt0287467,tt0095675"
nm0000265,Robert Altman,"director,producer,writer","tt0280707,tt0108122,tt0105151,tt0066026"
nm0000267,Julie Andrews,"actress,soundtrack,producer","tt0058331,tt0059742,tt0247638,tt0084865"
nm0000268,Ann-Margret,"actress,soundtrack","tt0073812,tt0107050,tt0077321,tt0056891"
nm0000269,Jean-Jacques Annaud,"director,writer,producer","tt0215750,tt2909116,tt0091605,tt0120102"
nm0000270,Gabrielle Anwar,"actress,producer,soundtrack","tt0105323,tt0108333,tt0455596,tt0810788"
nm0000271,Anne Archer,"actress,producer,soundtrack","tt0108122,tt0160009,tt0105112,tt0093010"
nm0000272,Fanny Ardant,"actress,director,writer","tt0086551,tt0127536,tt0283832,tt0401711"
nm0000273,Alan Arkin,"actor,soundtrack,director","tt0099487,tt0104348,tt0449059,tt1024648"
nm0000274,David Arquette,"producer,actor,director","tt0151738,tt0134084,tt0271367,tt0120082"
nm0000275,Rosanna Arquette,"actress,director,producer","tt0110912,tt0089017,tt0190138,tt0088680"
nm0000276,Sean Astin,"actor,producer,director","tt0089218,tt0167261,tt0167260,tt0120737"
nm0000277,Richard Attenborough,"actor,producer,director","tt0057115,tt0083987,tt0107290,tt0110527"
nm0000278,Pernilla August,"actress,director,writer","tt1437366,tt0104350,tt0120915,tt0121765"
nm0000279,Hank Azaria,"actor,soundtrack,producer","tt0118617,tt1839481,tt0096697,tt0115685"
nm0000281,Scott Baio,"actor,director,producer","tt0070992,tt0367279,tt0281680,tt0270846"
nm0000283,Brenda Bakke,actress,"tt0114781,tt0107144,tt0114608,tt0119488"
nm0000284,Adam Baldwin,"actor,soundtrack","tt0187393,tt0379786,tt0116629,tt0093058"
nm0000285,Alec Baldwin,"actor,producer,soundtrack","tt0104348,tt0318374,tt1230414,tt0407887"
